8/6 21:34:20.310  SWING_DAMAGE,0x00000000000058E4,"Elric",0x511,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,309,0,1,0,0,0,nil,nil,nil
8/6 21:34:20.310  SPELL_CAST_SUCCESS,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21
8/6 21:34:20.310  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21,713,0,32,0,0,0,nil,nil,nil
8/6 21:34:20.310  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,179,0,36,0,0,0,nil,nil,nil
8/6 21:34:20.310  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,760427,"Gloomblade",0x21,316,0,32,0,0,0,1,nil,nil
8/6 21:34:20.310  SWING_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,128,0,1,0,0,0,nil,nil,nil
8/6 21:34:20.310  SPELL_AURA_REMOVED,0x00000000000000EB,"Aliantha",0x518,0x00000000000000EB,"Aliantha",0x518,16278,"Flurry",0x1,BUFF
8/6 21:34:20.310  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,179,0,36,0,0,0,nil,nil,nil
8/6 21:34:20.349  SPELL_CAST_SUCCESS,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,760414,"Gloomblade",0x20
8/6 21:34:20.349  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,760414,"Gloomblade",0x20,637,0,32,0,0,0,nil,nil,nil
8/6 21:34:20.349  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,179,0,36,0,0,0,nil,nil,nil
